"id","ground_truth","GPT5_predicted","GPT4_predicted","correct_label","possible_reason_GPT5","possible_reason_GPT4","description"
"130","I/O","Time","Time","","","","## Summary of the Pull Request  This might be the problem why from time to time `MarkdownPreviewHandlerControlAddsBrowserToFormWhenDoPreviewIsCalled ` test fails - timeouts after 10s    **What is this about:**    **What is included in the PR:**     **How does someone test / validate:**     ## Quality Checklist    - [ ] **Linked issue:** #xxx  - [ ] **Communication:** I've discussed this with core contributors in the issue.   - [ ] **Tests:** Added/updated and all pass  - [ ] **Installer:** Added/updated and all pass  - [ ] **Localization:** All end user facing strings can be localized  - [ ] **Docs:** Added/ updated  - [ ] **Binaries:** Any new files are added to WXS / YML     - [ ] No new binaries     - [ ] [YML for signing](https://github.com/microsoft/PowerToys/blob/main/.pipelines/pipeline.user.windows.yml#L68) for new binaries     - [ ] [WXS for installer](https://github.com/microsoft/PowerToys/blob/main/installer/PowerToysSetup/Product.wxs) for new binaries    ## Contributor License Agreement (CLA)  A CLA must be signed. If not, go over [here](https://cla.opensource.microsoft.com/microsoft/PowerToys) and sign the CLA."
"134","Concurrency","Concurrency","Async wait","","","","### What changes were proposed in this pull request?    Simplify org.apache.spark.sql.connect.execution.ReattachableExecuteSuite.""reattach after connection expired"" to make it more deterministic.    ### Why are the changes needed?    The test previously involved execution and interruption that made the test unnecessarily flaky, e.g., an exception was thrown when releasing the corresponding [execution](https://github.com/apache/spark/actions/runs/12296721038/job/34316344940), not when reattaching the execution.  - The test's sole purpose is to check whether the lack of 'session' results in the correct error code.  - The involvement of actual query execution only makes the test flaky and complicated.    ### Does this PR introduce _any_ user-facing change?    No.    ### How was this patch tested?    Repeatedly ran testOnly org.apache.spark.sql.connect.execution.ReattachableExecuteSuite.    ### Was this patch authored or co-authored using generative AI tooling?    No."
"135","Async wait","Time","Time","","","","### What changes were proposed in this pull request?  This PR increases the max time we wait for a connect server to come up for testing. The current threshold is too low, and is causing flakyness.    ### Why are the changes needed?  It makes connect tests less flaky.    ### Does this PR introduce _any_ user-facing change?  No.    ### How was this patch tested?  It is test infra code.    ### Was this patch authored or co-authored using generative AI tooling?  No."
"152","Unordered collections","I/O","Test order dependency","","","","The problem is that in the yoga example's training data there are 5 classes but when using any other amount of classes as training data the training fails. Set the output layer to the actual number of classes instead.    Without this fix, a ValueError is raised (e.g. `ValueError: Shapes (None, 7) and (None, 5) are incompatible`)."
"153","Time","Async wait","Resource leak","","","","**What type of PR is this?**    /kind bug    **What this PR does / why we need it**:    Pod with PVC will not be scheduled if the PVC is being deleted.  This can happen when the PVC has finalizers of storage plugins.    Such a pod becomes pending.  Unfortunately, after the finalizer  finishes and PVC is deleted, the pod remains pending forever.  The StatefulSet controller does nothing for this pending pod.    This commit prevents the StatefulSet controller from creating  such pods when PVC is to be deleted.    Reprocedure:    1. Create a single node cluster with [kind](https://github.com/kubernetes-sigs/kind).  2. Create a StatefulSet with the following manifests:    ```yaml  apiVersion: v1  kind: Service  metadata:    name: test    namespace: default  spec:    clusterIP: None    selector:      app: test  ---  apiVersion: apps/v1  kind: StatefulSet  metadata:    name: test    namespace: default  spec:    replicas: 1    selector:      matchLabels:        app: test    serviceName: test    template:      metadata:        labels:          app: test      spec:        containers:        - command:          - pause          image: quay.io/cybozu/ubuntu:18.04          name: ubuntu          volumeMounts:          - mountPath: /usr/share/nginx/html            name: www    volumeClaimTemplates:    - metadata:        name: www      spec:        accessModes:        - ReadWriteOnce        resources:          requests:            storage: 1Gi        volumeMode: Filesystem  ```    3. Once the pod gets running, edit PVC to add a finalizer `aaa.bbb/ccc`.  4. Run `kubectl delete --wait=false pvc/www-test-0`.  5. Run `kubectl delete --wait=false pods/test-0`.  6. See a new pod is created and become pending.  7. Edit the PVC to remove the `aaa.bbb/ccc` finalizer.  8. See the PVC is get deleted.  9. See the Pod remains pending forever.    **Does this PR introduce a user-facing change?**:  ```release-note  Adding fix to statefulset controller to wait for pvc deletion before creating pods.  ```"
"157","Unordered collections","Async wait","Network","","","","https://github.com/emqx/emqx/actions/runs/17472259934/job/49624282534?pr=15846#step:4:381"
"159","Resource leak","Concurrency","Randomness","","","","Fixes random failures in the killSkipmeYesNo test by asserting that at least one client is killed, instead of exactly one.    Closes #4165"
"160","Async wait","Async wait","Time","","","","The test JedisPoolTest.testCloseConnectionOnMakeObject occasionally fails with the following error:        `JedisPoolTest.testCloseConnectionOnMakeObject:403 expected:<4> but was:<5>`    **Root Cause:**  The assertion is based on the output of getClientCount(jedis.clientList()), which is called immediately after closing a connection. However, Redis may take a short time to remove the closed connection from the client list, leading to a transient count mismatch and a flaky test result.    **Example stack trace:**  ```  Error:  redis.clients.jedis.JedisPoolTest.testCloseConnectionOnMakeObject -- Time elapsed: 0.006 s <<< FAILURE!  java.lang.AssertionError: expected:<4> but was:<5>  	at org.junit.Assert.fail(Assert.java:89)  	at org.junit.Assert.failNotEquals(Assert.java:835)  	at org.junit.Assert.assertEquals(Assert.java:647)  	at org.junit.Assert.assertEquals(Assert.java:633)  	at redis.clients.jedis.JedisPoolTest.testCloseConnectionOnMakeObject(JedisPoolTest.java:403)  ```  	  closes #4135"
"165","Randomness","Unordered collections","Test order dependency","","","","The test `test_installed_modules` appears to not be all that useful.  The test exists to verify the behavior of the [`_generate_installed_modules` function](https://github.com/getsentry/sentry-python/blob/9b66f3b51502ca600554c711bc3f599c18f8f18b/sentry_sdk/utils.py#L1689). However, all the test does is essentially check the output of `_generate_installed_modules` against a refactored version of the function call itself.  In short, in its current form, the test appears to not make too much sense. As the test recently started failing, let's just delete it.  <!-- Describe your PR here -->  ---  Thank you for contributing to `sentry-python`! Please add tests to validate your changes, and lint your code using `tox -e linters`.  Running the test suite on your PR might require maintainer approval."
"166","OS","Time","OS","","","","There's a test in `test_utils.py` that flakes very often, but only on Python 3.8 and only in CI (locally it's all fine). I've tried a couple of ways to fix it but at this point it's not worth the effort, so just skipping it on 3.8."
"178","Concurrency","Time","Test order dependency","","","","Fixes #13547"
"186","Resource leak","Test order dependency","Network","","","","…ot specifying topic"
"187","Async wait","Concurrency","Network","","","","<!--  !!!ATTENTION!!!    If you are fixing *any* crash or *any* potential security issue, *do not*  open a pull request in this repo. Please report the issue via emailing  envoy-security@googlegroups.com where the issue will be triaged appropriately.  Thank you in advance for helping to keep Envoy secure.    !!!ATTENTION!!!    For an explanation of how to fill out the fields, please see the relevant section  in [PULL_REQUESTS.md](https://github.com/envoyproxy/envoy/blob/main/PULL_REQUESTS.md)  -->    Fix #29595     It is possible that we will get data + rst from the wrapped transport socket since there is a `do {} while` loop. We should trigger the `onRead` if there is any processed data.    Do not flake anymore.  ```  bazel test test/integration:protocol_integration_test --test_filter=""*LargeRequestMethod*"" --test_arg=""-l trace"" -c opt --runs_per_test=1000  ```    Commit Message:  Additional Description:  Risk Level:  Testing:  Docs Changes:  Release Notes:  Platform Specific Features:  [Optional Runtime guard:]  [Optional Fixes #Issue]  [Optional Fixes commit #PR or SHA]  [Optional Deprecated:]  [Optional [API Considerations](https://github.com/envoyproxy/envoy/blob/main/api/review_checklist.md):]"
"189","Resource leak","Concurrency","Network","","","","<!--  !!!ATTENTION!!!    If you are fixing *any* crash or *any* potential security issue, *do not*  open a pull request in this repo. Please report the issue via emailing  envoy-security@googlegroups.com where the issue will be triaged appropriately.  Thank you in advance for helping to keep Envoy secure.    !!!ATTENTION!!!    For an explanation of how to fill out the fields, please see the relevant section  in [PULL_REQUESTS.md](https://github.com/envoyproxy/envoy/blob/main/PULL_REQUESTS.md)  -->    Commit Message: aws: fix test flake when no IMDS can be found  Additional Description: Lack of IMDS (169.254.169.254 address) can cause a race condition and crash during testing due to the shutdown of cluster manager. This scenario should not occur normally, as cluster manager will still exist and the lack of IMDS is handled gracefully.  Risk Level: Low  Testing: N/A  Docs Changes:  Release Notes:  Platform Specific Features:  [Optional Runtime guard:]  [Optional Fixes #Issue]  [Optional Fixes commit #PR or SHA]  [Optional Deprecated:]  [Optional [API Considerations](https://github.com/envoyproxy/envoy/blob/main/api/review_checklist.md):]"
"190","Async wait","Async wait","Time","","","","[PR Linked Issue] Few of recent ci runs have failures for `//test/extensions/filters/http/alternate_protocols_cache:filter_integration_test`: https://github.com/envoyproxy/envoy/actions/runs/15444829526/job/43471494796 https://github.com/envoyproxy/envoy/actions/runs/15439887326/job/43454992923 ci log: ``` [ RUN      ] Protocols/MixedUpstreamIntegrationTest.BasicRequestAutoWithHttp3/IPv4_Http2Downstream_Http3UpstreamHttpParserNghttp2Legacy test/extensions/filters/http/alternate_protocols_cache/filter_integration_test.cc:536: Failure Expected: (getSrtt(alt_svc, timeSystem())) != (0), actual: 0 vs 0 Alt-svc entry :'' Stack trace:   0xaaaad262aa0c: Envoy::(anonymous namespace)::MixedUpstreamIntegrationTest_BasicRequestAutoWithHttp3_Test::TestBody()   0xaaaad3ad4224: testing::internal::HandleExceptionsInMethodIfSupported<>()   0xaaaad3ad40c0: testing::Test::Run()   0xaaaad3ad528c: testing::TestInfo::Run() ... Google Test internal frames ...  [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_quic_always_support_server_preferred_address to: true [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_enable_universal_header_validator to: false [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_http1_use_balsa_parser to: true [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_http2_use_oghttp2 to: true [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_no_extension_lookup_by_name to: true [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_runtime_initialized to: false [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_quic_always_support_server_preferred_address to: true [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_enable_universal_header_validator to: false [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_http1_use_balsa_parser to: true [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_http2_use_oghttp2 to: true [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_no_extension_lookup_by_name to: true [external/com_google_absl/absl/flags/internal/flag.cc : 147] RAW: Restore saved value of envoy_reloadable_features_runtime_initialized to: false [  FAILED  ] Protocols/MixedUpstreamIntegrationTest.BasicRequestAutoWithHttp3/IPv4_Http2Downstream_Http3UpstreamHttpParserNghttp2Legacy, where GetParam() = 24-byte object <00-00 00-00 01-00 00-00 02-00 00-00 00-00 00-00 00-00 00-00 00-00 00-00> (571 ms) ```"
"191","Async wait","Resource leak","Resource leak","","","","[PR Linked Issue] https://circleci.com/gh/square/okhttp/8330?utm_campaign=vcs-integration-link&utm_medium=referral&utm_source=github-build-link    closeReasonMaximumLength - okhttp3.internal.ws.WebSocketHttpTest  ```  org.junit.ComparisonFailure: expected:<[0]> but was:<[1]>  	at okhttp3.OkHttpClientTestRule.ensureAllConnectionsReleased(OkHttpClientTestRule.kt:91)  	at okhttp3.OkHttpClientTestRule$apply$1.evaluate(OkHttpClientTestRule.kt:121)  ```    serverCloseThenClientClose - okhttp3.internal.ws.RealWebSocketTest  ```  java.lang.AssertionError:   Expecting empty but was:<[Closed[1000 Hello!]]>  	at okhttp3.internal.ws.WebSocketRecorder.assertExhausted(WebSocketRecorder.java:163)  	at okhttp3.internal.ws.RealWebSocketTest.tearDown(RealWebSocketTest.java:58)  ```"
"192","Concurrency","Async wait","Async wait","","","","[PR Linked Issue] https://github.com/square/okhttp/actions/runs/7593827185/job/20684688664      ```  HttpOverHttp2Test > concurrentRequestWithEmptyFlowControlWindow(Protocol, MockWebServer) > [1] h2_prior_knowledge FAILED      java.lang.AssertionError: Timed out waiting for log message.          at okhttp3.TestLogHandler.take(TestLogHandler.kt:92)          at okhttp3.internal.http2.HttpOverHttp2Test.waitForDataFrames(HttpOverHttp2Test.kt:425)          at okhttp3.internal.http2.HttpOverHttp2Test.concurrentRequestWithEmptyFlowControlWindow(HttpOverHttp2Test.kt:481)  ```            Steps   1. FakeFileSystem cache to remove that issue  2. Close requests cleanly  3. Verify in CI"
"194","Test order dependency","Concurrency","Concurrency","","","","These tests were causing flakes where the mock method was being called more than once. The tests were also difficult to understand.  This change removes the need for mocking (hopefully increasing test stability) and also should hopefully make it easier to understand what these tests are meant to be checking"
"198","OS","I/O","Concurrency","","","","Ideas and help of Alexander Motin ;)    Ticket: #28198  (cherry picked from commit ef3eb51d9b80715c45401827316ab1ef7fc6933b)"
"200","I/O","Time","Randomness","","","","[PR Linked Issue] $1K per flakey test"
"201","Network","Async wait","Resource leak","","","","### Description  This is a PR for SEISMIC. I found there would be flakey tests within previous `warmUp` and `clearCache` related ITs. I fixed them in this PR. In addition, I refactored some codes to be cleaner.    ### Related Issues  Previous IT: #1559     ### Check List  - [ ] New functionality includes testing.  - [ ] New functionality has been documented.  - [ ] API changes companion pull request [created](https://github.com/opensearch-project/opensearch-api-specification/blob/main/DEVELOPER_GUIDE.md).  - [x] Commits are signed per the DCO using `--signoff`.  - [x] Public documentation issue/PR [created](https://github.com/opensearch-project/documentation-website/issues/new/choose).    By submitting this pull request, I confirm that my contribution is made under the terms of the Apache 2.0 license.  For more information on following Developer Certificate of Origin and signing off your commits, please check [here](https://github.com/opensearch-project/neural-search/blob/main/CONTRIBUTING.md#developer-certificate-of-origin)."
"202","Async wait","Network","Network","","","","The `getContext` seem to randomly timing out on github action.   <img width=""494"" alt=""image"" src=""https://github.com/radarlabs/radar-sdk-ios/assets/139801512/9de1176f-0d6b-434e-b63a-f28b242da8e2"">  <img width=""417"" alt=""image"" src=""https://github.com/radarlabs/radar-sdk-ios/assets/139801512/ec3ec059-f3cc-47aa-8f3f-54ac4a7e72ad"">  This is likely an issue with github action because  - This does not occur on circle CI  - This does not occur on local testing  As a sanity check, the SDK endpoint for `getContext` was called on waypoint with no noticeable issue."
"203","Test order dependency","Test order dependency","Resource leak","","","","trust center tests need to create their own users because of top level restrictions on number of trust centers"
"204","Async wait","Async wait","Network","","","","When you have a rewrite in middleware like this:  ```ts  return NextResponse.rewrite(u, {    status: 403,  });  ```  The rewrite status code is not propogated to the cache interceptor's responses when you have an external middleware.     We can also safely remove the `x-next-cache-tags` header on the response.    I did update some tests that were flakey aswell. We need to register the event listener before the navigation."
"206","Time","Network","Network","","","","Fixes #145 -  the issue was caused by the slightly variable results returned by the GitHub API.    In all the tests in `FunctionalSpec`, we create several test fixtures with the GitHub API, each created to be used once and thrown away:    * A brand-new GitHub repository, populated with whatever Git history we require  * A brand new PR in the repository, which we also merge    Before continuing on to the next step, which would be having Prout scan the repo for recently-merged PRs, we perform several checks to ensure that the GitHub API confirms the status of the merged PR:    https://github.com/guardian/prout/blob/a710e347afb94ca719e11b9c5b6b3312f1245e98/test/lib/Helpers.scala#L180-L195    However, looking a the differing logs produced by the failure & success cases in #145, it became apparent that even though we've checked the GitHub API."
"210","Test order dependency","Test order dependency","Network","","","","…ot specifying topic"
"212","Test order dependency","Async wait","Time","","","","Fixes #2495: **Kubelet doesn't kill old pods when BoundPods is empty**  The first time kubelet starts, while there are no updates, `kl.pods` is `nil` ([pkg/kubelet/kubelet.go#L1118](https://github.com/GoogleCloudPlatform/kubernetes/blob/master/pkg/kubelet/kubelet.go#L1118)):  ``` GO case <-time.After(kl.resyncInterval):     glog.V(4).Infof(""Periodic sync"")     if kl.pods == nil {         continue     } ```  which guarantees that [`syncPods(...)`](https://github.com/GoogleCloudPlatform/kubernetes/blob/master/pkg/kubelet/kubelet.go#L992), which contains the container killing logic is never called.  So the first part of the fix is to remove this check and allow `syncPods(...)` to be called even when nil, so that the first periodic sync can clean up old containers.  However, this isn't enough because inside `syncPods(...)` there is a check to make sure that all sources have been ""seen"" before it will kill old containers ([pkg/kubelet/kubelet.go#L1026](https://github.com/GoogleCloudPlatform/kubernetes/blob/master/pkg/kubelet/kubelet.go#L1026)):  ``` GO if !kl.sourcesReady() {     // If the sources aren't ready, skip deletion, as we may accidentally delete pods     // for sources that haven't reported yet.     glog.V(4).Infof(""Skipping deletes, sources aren't ready yet."")     return nil } ```  This check is performed in the [`SeenAllSources()`](https://github.com/GoogleCloudPlatform/kubernetes/blob/master/pkg/kubelet/config/config.go#L87) function, and is `true` only if a `SET` update has been seen for all registered kubelet sources.  However, no `SET` update is emitted by any of the sources until they successfully read a value, which means the original problem still exists.  So the second part of the fix is to have the kubelet boundpod sources (etcd, file, and http) all emit a `SET` update with an empty pod list when the source is first read but no value exists; the empty update will not make it back to the kubelet sync loop because it will be filtered out by the [update merge logic](https://github.com/GoogleCloudPlatform/kubernetes/blob/master/pkg/kubelet/config/config.go#L140); but it will cause the source to be [marked as seen](https://github.com/GoogleCloudPlatform/kubernetes/blob/master/pkg/kubelet/config/config.go#L238) so the periodic sync (enabled by the first fix) will clean up the old containers (since all sources will now be marked as seen after the first read attempt)."
"223","Async wait","Test order dependency","Test order dependency","","","","Thanks for Diana Carroll to report this issue (https://spark-project.atlassian.net/browse/SPARK-1100)  the current saveAsTextFile/SequenceFile will overwrite the output directory silently if the directory already exists, this behaviour is not desirable because  overwriting the data silently is not user-friendly  if the partition number of two writing operation changed, then the output directory will contain the results generated by two runnings  My fix includes:  add some new APIs with a flag for users to define whether he/she wants to overwrite the directory: if the flag is set to true, then the output directory is deleted first and then written into the new data to prevent the output directory contains results from multiple rounds of running;  if the flag is set to false, Spark will throw an exception if the output directory already exists  changed JavaAPI part  default behaviour is overwriting  Two questions  should we deprecate the old APIs without such a flag?  I noticed that Spark Streaming also called these APIs, I thought we don't need to change the related part in streaming? @tdas"
"225","Async wait","Test order dependency","I/O","","","","Previously, ZooKeeperPersistenceEngine would crash the whole Master process if there was stored data from a prior Spark version. Now, we just delete these files."
"228","Time","Unordered collections","Test order dependency","","","","I have written integration code which would allow conditionExpressions to be xpath and evaluator for it  also test case is added to illustrate the use of xpath"
"229","Async wait","I/O","Network","","","","Also change cloudcfg.sh, to make it possible to call from the examples/guestbook directory."
"231","Time","OS","OS","","","","<!--  Thanks for sending a pull request!  Here are some tips for you:  1. If this is your first time, read our contributor guidelines https://git.k8s.io/community/contributors/devel/pull-requests.md#the-pr-submit-process and developer guide https://git.k8s.io/community/contributors/devel/development.md#development-guide  2. If you want *faster* PR reviews, read how: https://git.k8s.io/community/contributors/devel/pull-requests.md#best-practices-for-faster-reviews  3. Follow the instructions for writing a release note: https://git.k8s.io/community/contributors/devel/pull-requests.md#write-release-notes-if-needed  -->    **What this PR does / why we need it**:  Delete ""hugetlb"" from whitelistControllers    **Which issue this PR fixes** *(optional, in `fixes #<issue number>(, fixes #<issue_number>, ...)` format, will close that issue when PR gets merged)*: fixes #50770    **Special notes for your reviewer**:    **Release note**:  <!--  Steps to write your release note:  1. Use the release-note-* labels to set the release note state (if you have access)  2. Enter your extended release note in the below block; leaving it blank means using the PR title as the release note. If no release note is required, just write `NONE`.  -->  ```  NONE  ```"
"233","Test order dependency","Resource leak","Resource leak","","","","Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):  * __->__ #159443    under dynamo, the libraries couldn't properly be cleared unless we manually did `gc.collect()`, but that's slow. it also worked if we just used the _destroy() method to tear down     FIXES   #159398  #159349  #159254  #159237  #159153  #159114  #159040  #158910  #158841  #158763  #158735  cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @chenyang78 @kadeng @chauhang @amjames @Lucaskabela"
"235","Test order dependency","Resource leak","Resource leak","","","","[PR Linked Issue] Fixing existing runs:  - [x] Don't run Jedi on PyPy. (see https://github.com/python-trio/trio/pull/2887 and https://github.com/python-trio/trio/pull/3075) (need to update `test_static_tool_sees_class_members` too)  - [x] Only run autodeps in `python-trio/trio` (see https://github.com/python-trio/trio/pull/2892)  - [x] Add a `gc.collect()` to the top of `test_for_leaking_fds` (this seems to address test flakiness I've seen elsewhere) (see https://github.com/python-trio/trio/pull/2888)  - [x] Start running `mypy` on PyPy. (see https://github.com/python-trio/trio/pull/3075)  - [x] switch macos to run on m1 (see https://github.com/python-trio/trio/pull/2953)    Adding more runs:  - [ ] Add an anaconda run  - [x] Alpine run (see https://github.com/python-trio/trio/pull/2933)  - [ ] Try out qemu for a freebsd  - [x] Cython run (see https://github.com/python-trio/trio/pull/2942)    - [ ] Run full test suite on Cython  - [x] Update MacOS and Windows Python matrix to support 3.11 and 3.12. (see https://github.com/python-trio/trio/pull/3017)  - [x] Add CPython 3.13 (see https://github.com/python-trio/trio/pull/3005)  - [ ] ... Android run??? (https://github.com/marketplace/actions/android-emulator-runner ??)  - [x] pypy nightly 3.11 (not possible)  - [x] add pypy runs for macos (see https://github.com/python-trio/trio/pull/3074)  - [x] add pypy runs for windows (see #2776 and #2678) (see https://github.com/python-trio/trio/pull/3074)    Removing runs:  - [x] Don't run PyPy nightlies less than 3.11 (see https://github.com/python-trio/trio/pull/2952)    These feel like they will take more motivation than I currently have :("
"238","Concurrency","Network","OS","","","","[PR Linked Issue] CI test **darwin://python/ray/tests:test_multi_node** is consistently_failing. Recent failures:  	- https://buildkite.com/ray-project/postmerge-macos/builds/7162#01987fcf-d2dd-40d7-ab47-675bc7df8452 	- https://buildkite.com/ray-project/postmerge-macos/builds/7162#01987f0b-3872-4031-a057-406c38641c46  DataCaseName-darwin://python/ray/tests:test_multi_node-END Managed by OSS Test Policy"
"242","Concurrency","Async wait","Async wait","","","","Summary: The test has been [flaky](https://github.com/facebook/rocksdb/actions/runs/12220443012/job/34088263578?fbclid=IwZXh0bgNhZW0CMTEAAR3iDUK20Z4kdFkYZOT_PgQMYuj3Ebmpf4O-OOLLyeFQs4HAb8pRTWpFnUo_aem_09A_yiv7cwoD5lKjxFKimA). The cause for flakiness is that background threads may not be immediately available after calling env_->SetBackgroundThreads() while the test expects all background threads to be available for compaction. There's no way to get the number of available threads and I don't want to update threadpool implementation just for this test. So I added a fix to wait until background threads being available that relies on sync point.       Test plan: monitor future test failure"
"243","Async wait","Time","Time","","","","Refs #943    * We've already got a test that ensures `response.elapsed > datetime.timedelta(0)`, so let's not try to enforce a ""this should end up as more than one second"" case.  * Let's bump the slow response default to a more reliably noticable 1 second delay."
"244","Floating point operations","Resource leak","Test order dependency","","","","After https://github.com/python-pillow/Pillow/actions/runs/4256800436/jobs/7406140055, this is a further PR for #6875"
"245","Async wait","Time","Time","","","","### Feature or Bugfix  - Workaround    ### Purpose  - Reduce distration due to failed continuous integration pipelines.    ### Detail  - Increase the timeout duration in `linkcheck`-related test roots by a factor of 5x, to a quarter-second.    ### Relates  - May resolve #12159."
"246","Time","Async wait","Async wait","","","","As a follow-up to HDFS-16935, we should provide utility to trigger heartbeat and wait until BP thread queue is fully processed. This would ensure 100% consistency w.r.t active namenode being able to receive bad block reports from the given datanode. This utility would resolve flakes for the tests that rely on namenode's awareness of the reported bad blocks by datanodes."
"247","Time","Async wait","Time","","","","### Description of PR  testDecommissionStatus keeps failing intermittently.  ```  [ERROR] testDecommissionStatus(org.apache.hadoop.hdfs.server.namenode.TestDecommissioningStatusWithBackoffMonitor)  Time elapsed: 3.299 s  <<< FAILURE!  java.lang.AssertionError: Unexpected num under-replicated blocks expected:<4> but was:<3>  	at org.junit.Assert.fail(Assert.java:89)  	at org.junit.Assert.failNotEquals(Assert.java:835)  	at org.junit.Assert.assertEquals(Assert.java:647)  	at org.apache.hadoop.hdfs.server.namenode.TestDecommissioningStatus.checkDecommissionStatus(TestDecommissioningStatus.java:169)  	at org.apache.hadoop.hdfs.server.namenode.TestDecommissioningStatusWithBackoffMonitor.testDecommissionStatus(TestDecommissioningStatusWithBackoffMonitor.java:136)  ```    ### How was this patch tested?  Local run of unit test    ### For code changes:    - [X] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')?"
"248","Time","Async wait","Network","","","","<!--    Thanks for sending a pull request!      1. If this is your first time, please read our contributor guidelines: https://cwiki.apache.org/confluence/display/HADOOP/How+To+Contribute      2. Make sure your PR title starts with JIRA issue id, e.g., 'HADOOP-17799. Your PR title ...'.  -->    ### Description of PR  Please refer to YARN-11816 for details.    ### How was this patch tested?      ### For code changes:    - [x] Does the title or this PR starts with the corresponding JIRA issue id (e.g. 'HADOOP-17799. Your PR title ...')?  - [ ] Object storage: have the integration tests been executed and the endpoint declared according to the connector-specific documentation?  - [ ] If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under [ASF 2.0](http://www.apache.org/legal/resolved.html#category-a)?  - [ ] If applicable, have you updated the `LICENSE`, `LICENSE-binary`, `NOTICE-binary` files?"
"250","Test order dependency","Resource leak","Resource leak","","","","Properly shutdown broker for each test and speed up tests by sending less messages"
"252","Async wait","Time","Time","","","","My theory is that since 0ebea6e5c07485a36862e9b6e2be18d1694ad2c5, the saving of objects has become slightly slower  This caused some failures in the selenium test suite: https://github.com/django/django/actions/runs/13826117388/job/38698352291"
"253","Unordered collections","Time","Test order dependency","","","","ticket-23842"
"254","OS","OS","Resource leak","","","","Noticed `test_basic_series_frame_alignment` and `test_raw_roundtrip` can occasitionally fail in the CI. Marking as xfail strict=False and clearing the clipboard respectively"
"255","OS","Network","Test order dependency","","","","- [x] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature  - [x] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).    Example: https://app.circleci.com/pipelines/github/pandas-dev/pandas/8766/workflows/4a9ce4f4-0e1c-49aa-b035-ffcb6334be45/jobs/39610"
"260","Async wait","Async wait","Test order dependency","","","","For example this test fails randomly and needs to be re-run multiple times: https://github.com/mastra-ai/mastra/actions/runs/15888293944/job/44806477266?pr=5482    Seems to be flawed test logic (fixed here)"
"262","Test order dependency","Async wait","Network","","","","This PR sets up the sidebar and sidebar links    <img width=""1576"" alt=""Screenshot 2024-08-12 at 15 08 01"" src=""https://github.com/user-attachments/assets/4f732c78-c199-4ce8-b4a6-37b33e8287e9"">"
"268","Randomness","OS","Resource leak","","","","[PR Linked Issue] Really love this repo, I've been using it to finetune CodeGen models with >2k context windows.    It's way faster than hugging face (3x) and slightly faster than Megatron for the 350M and 2.7b parameter CodeGen models but doesn't work for the 6.1B and 16B parameter models as they have a head dimension of 256.    <img width=""1006"" alt=""Screen Shot 2022-11-01 at 5 32 47 PM"" src=""https://user-images.githubusercontent.com/17725268/199345886-f8b7531e-9918-4fba-ab37-4ae980ec2796.png"">    I would imagine CodeGen finetuning will be a solid use-case for flash attention since coding models can really benefit from long context windows. And CodeGen is basically SOTA for coding (competitive with Codex).    Is this something that is even possible with flash attention?"
"271","Async wait","OS","I/O","","","","Introduced by 3d707be950b387552585451071928e7b39cdfa53.    From docs buildbot: http://buildbot.python.org/all/builders/Docs%203.x/builds/399/steps/lint/logs/stdio    ```  python3 tools/rstlint.py -i tools -i venv  [1] faq/windows.rst:303: trailing whitespace  [1] faq/windows.rst:305: trailing whitespace  2 problems with severity 1 found.  ```"
"273","Test order dependency","Test order dependency","Resource leak","","","","Take 3: on win32 we use empty.txt in the fixtures directory, otherwise we use a file constructed specifically for this test due to POSIX socket path length limitations, in which case we need to do appropriate cleanup. Cleaning up empty.txt in fixtures causes downstream problems for other tests using it (currently the next test is test-zlib)."
